experimental phase,hour,drink,eat,groom,hang,sniff,rear,rest,walk,eathand
"Experiment: Alc, Phase: W1",00h,0.005087696057651549,0.045854970326409505,0.088085391055532,0.001771937261551505,0.3199945686731666,0.0017516691394658757,0.5001862547689699,0.0034575031793132685,0.03381000953793978
"Experiment: Alc, Phase: W1",01h,0.006474772223847538,0.03539685815187864,0.08211500083587576,0.001726214109583316,0.3102992957746479,0.0009646529025786766,0.5355589396915618,0.002580374681322356,0.024883891628703983
"Experiment: Alc, Phase: W1",02h,0.003671047053836372,0.0411715769393811,0.08923352055955917,0.001998860746078847,0.3038743906316237,0.0011893281051292926,0.5306990515048748,0.0029828582026282303,0.025179366256888516
"Experiment: Alc, Phase: W1",03h,0.0037005788439837825,0.03819678083336816,0.08382123228988174,0.0023955677686295818,0.33062426860868477,0.0016334841392569065,0.523771785012747,0.004285038868224181,0.01157126363522381
"Experiment: Alc, Phase: W1",04h,0.008198504827182679,0.0335750407489447,0.09106840598487069,0.002617858486228946,0.3301044583524887,0.0017161574789986208,0.505077422994943,0.004274982237639489,0.023367168888703143
"Experiment: Alc, Phase: W1",05h,0.007417091570192669,0.046623584235382626,0.11006655660968782,0.004878771889497219,0.34616267710118287,0.0025170309691979766,0.44869002591214946,0.005949737743971244,0.027694523968738248
"Experiment: Alc, Phase: W1",06h,0.011072216040224202,0.09529524192218924,0.15211295540718758,0.07305653437190898,0.29662140928948233,0.02024230856412791,0.2850780734833498,0.03281224241674909,0.03370901850478075
"Experiment: Alc, Phase: W1",07h,0.0163005120755028,0.17142397172766233,0.14613174352950875,0.1269031538493241,0.2639884448153644,0.03825368859215297,0.13107407063963064,0.06054751895812727,0.04537689581272668
"Experiment: Alc, Phase: W1",08h,0.010418936619065282,0.1692816035330119,0.1413180116376113,0.1086428679061573,0.27462400894844213,0.03264181889836795,0.16652897232010386,0.05231042516691395,0.044233354970326405
"Experiment: Alc, Phase: W1",09h,0.010476408216514887,0.12734638800777656,0.15250546787066407,0.07882447175892764,0.273684993093216,0.024567366724649535,0.25101555305433343,0.0418886856645861,0.03969066560933182
"Experiment: Alc, Phase: W1",10h,0.012657798118996127,0.14358025700347038,0.14282977292159132,0.07883179097721672,0.2733176583010612,0.022903831162299458,0.240041744203591,0.04106727480762461,0.04476987250414927
"Experiment: Alc, Phase: W1",11h,0.010468904549950548,0.13303056998021762,0.13638569485657764,0.07759257542037586,0.2801128214638971,0.02012271266073195,0.2615495178041542,0.03969584569732936,0.041041357566765566
"Experiment: Alc, Phase: W1",12h,0.009514254834748794,0.07797295482451654,0.14430430139158906,0.07950443824823492,0.24474716693952725,0.011887502558068147,0.376615579914049,0.025724572802619458,0.0297292284866469
"Experiment: Alc, Phase: W1",13h,0.008994676516069717,0.05831265411459857,0.1495816702887951,0.05399248234212396,0.24396850315543112,0.008407604379989138,0.42947585363814944,0.018623704392527272,0.028642851172315804
"Experiment: Alc, Phase: W1",14h,0.008015003970409999,0.08695655013165043,0.1374655201237096,0.05440833054708071,0.2580003761441051,0.011201911021022276,0.3939627565093827,0.020969511430601422,0.029020040122037863
"Experiment: Alc, Phase: W1",15h,0.01077378589041669,0.09908118966021648,0.15288755903372758,0.05680089438709406,0.2592464840974631,0.011254022652233879,0.3492031752831529,0.024750282108078735,0.03600260688761651
"Experiment: Alc, Phase: W1",16h,0.01216219796523951,0.14083006570580753,0.13839736116998735,0.07135412250953797,0.26944269287833833,0.016099247562526495,0.272404753073336,0.03259869118270454,0.04671086795252227
"Experiment: Alc, Phase: W1",17h,0.012802380338020898,0.19022155743344943,0.12947858878424284,0.08513431062658577,0.28131423902292174,0.02046671397239066,0.1955687169397497,0.04208462348944222,0.04292886939319658
"Experiment: Alc, Phase: W1",18h,0.010376097304648859,0.1225779446917244,0.09829660196175402,0.038785598005275305,0.3937632655374218,0.012275644988460267,0.2476271430926476,0.031097510715463232,0.04520019370260469
"Experiment: Alc, Phase: W1",19h,0.005709478346879971,0.0368959112802649,0.07934379434911629,0.004839294929686493,0.3333208349460284,0.0022983593514815295,0.5097675568743818,0.007468928740377585,0.020355841181782998
"Experiment: Alc, Phase: W1",20h,0.003490253049785688,0.04812144535113748,0.0835276798961424,0.0023337042532146387,0.31141995342894807,0.0013675094790636332,0.5343156270606662,0.0037762992499175744,0.011647528231124298
"Experiment: Alc, Phase: W1",21h,0.0035289052564646023,0.07055969160661295,0.07869528931750738,0.002403163416701993,0.2901983096651124,0.001968657270029674,0.5278429684188213,0.005877887876218738,0.018925127172530743
"Experiment: Alc, Phase: W1",22h,0.005198102561959293,0.08255853742633845,0.07613744410080661,0.002372581184435993,0.26729557612738747,0.0014682680653654865,0.5475117022610441,0.0035165555648430636,0.013941232707819622
"Experiment: Alc, Phase: W1",23h,0.004477943327621513,0.0625750982154052,0.07276324863125334,0.0008352227608977306,0.3110565469971162,0.0007112780540811634,0.5163345801813849,0.002877110586366866,0.028368971245872867
"Experiment: Alc, Phase: W2",00h,0.005299738589797936,0.021252384484951245,0.06680057315953086,0.0007723081814328104,0.27215153401865205,0.001488757595026141,0.597598845732655,0.0051328246432104,0.02950303359474353
"Experiment: Alc, Phase: W2",01h,0.003277389975331592,0.01805307282542633,0.07349297039791211,0.0005256560366093454,0.29924430660326756,0.0011709672517965029,0.5760623726359443,0.0038621474026670497,0.02431111687104501
"Experiment: Alc, Phase: W2",02h,0.008714807845407834,0.03020904954042123,0.07749816801765942,0.0011194316783672289,0.3016344222696679,0.001604906998624883,0.553235145111095,0.004570456683795326,0.02141361185496128
"Experiment: Alc, Phase: W2",03h,0.006666614529333955,0.03441287404812127,0.06405663455006975,0.0007988184190769012,0.26511319759751173,0.0010039415823531515,0.6037407046583966,0.0028831200171606304,0.02132409459797647
"Experiment: Alc, Phase: W2",04h,0.0044780659694579105,0.029447419845118335,0.0900256477527683,0.0017380084316421796,0.3244274489758991,0.0013986393573134546,0.5297179199536803,0.003211962618513425,0.015554887095606864
"Experiment: Alc, Phase: W2",05h,0.005841877737741983,0.03620023491592482,0.08469789900381519,0.001911120531298573,0.2998796718242192,0.0015344602232584428,0.5440383460505865,0.0037403295888088165,0.022156060124346465
"Experiment: Alc, Phase: W2",06h,0.007102886764113273,0.06867478569073528,0.1261785864747042,0.03340316701469026,0.29052276806975136,0.008307803971132361,0.4293792587097482,0.012550371835732863,0.023880371469392245
