experimental phase,hour,drink,eat,groom,hang,sniff,rear,rest,walk,eathand
"Experiment: FC-A, Phase: preexposure",00h,0.0013105835806132542,0.11894370260468184,0.05758196299043851,0.050887631882624455,0.23494915306627107,0.007849849571381469,0.4997406136663371,0.015279323277283216,0.013457179360369272
"Experiment: FC-A, Phase: preexposure",01h,0.0008605856412792613,0.12884983926805144,0.057127843719090014,0.054834064869765914,0.24623516320474778,0.009054308852621169,0.4672441683151995,0.01919458869106495,0.016599437438180018
"Experiment: FC-A, Phase: preexposure",02h,0.0005283032476096275,0.10877457344213651,0.059526716534784044,0.036944392927794265,0.22809949925816028,0.0057005749258160245,0.5366592482690405,0.011571669963732278,0.012195021430926475
"Experiment: FC-A, Phase: preexposure",03h,0.0013760097263435544,0.15543964309264757,0.06179216122650841,0.04699168521266073,0.22360158053082754,0.007934336877678867,0.470395184223541,0.015451904055390701,0.017017495054401578
"Experiment: FC-A, Phase: preexposure",04h,0.00214978981206726,0.2272685356907353,0.05965241716122649,0.11265223170128584,0.24359158630069244,0.015461177052423345,0.2812971377349159,0.030359534701615565,0.027567589845037918
"Experiment: FC-A, Phase: preexposure",05h,0.002592575420375866,0.22415718760303335,0.064004543768546,0.10487965710517638,0.31976642350807777,0.01581896018793274,0.20826249793933405,0.03616984009231784,0.024348314375206064
"Experiment: FC-A, Phase: preexposure",06h,0.001942950461589185,0.15303896719419724,0.05904555102209033,0.037085806132542046,0.3389383448730629,0.009271709116386416,0.35141284413122326,0.021862893587207388,0.027400933481701285
"Experiment: FC-A, Phase: preexposure",07h,0.0002591287504121333,0.0602950873722387,0.0424334920046159,0.0038768855093966373,0.19637503090999012,0.0014566332838773489,0.6761998227827236,0.006073555473128915,0.013030363913616878
"Experiment: FC-A, Phase: preexposure",08h,0.0004252699472469503,0.04389708003626772,0.04887693702604681,0.004837928618529509,0.16823045458292124,0.0022729146060006594,0.7195776149851633,0.004172333498186614,0.007709466699637323
"Experiment: FC-A, Phase: preexposure",09h,0.0003557902545681712,0.03438720131188505,0.052056165078869274,0.005482293456192409,0.2734572661252538,0.002225031235358425,0.6185430657504295,0.005052319225363111,0.008440867562080276
"Experiment: FC-A, Phase: preexposure",10h,0.0006769287833827893,0.028087908011869434,0.06255535698228577,0.006948565776458951,0.20499702140095316,0.0021327893175074183,0.6748859140365076,0.0054232982645445555,0.014292217426490422
"Experiment: FC-A, Phase: preexposure",11h,0.00040955736894164195,0.030252380069238374,0.053507511127596434,0.00478486646884273,0.14995466534784044,0.0017355959446092978,0.7435225539894493,0.004592709363666338,0.011240160319815364
"Experiment: FC-A, Phase: preexposure",12h,0.0002704624134520277,0.023233494065281895,0.0961362512363996,0.003725272007912957,0.1289413328387735,0.0012490727002967357,0.7310605217606331,0.003585867952522255,0.01179772502472799
"Experiment: FC-A, Phase: preexposure",13h,0.00019761076435076232,0.04246872761690372,0.10233999283740919,0.004626266243732733,0.15417700552542718,0.002031745625703469,0.6799217231147038,0.005063376138340326,0.009173552133428835
"Experiment: FC-A, Phase: preexposure",14h,0.0002500618199802176,0.034824431256182,0.09738068743818003,0.006792470326409493,0.10722768298714146,0.0016441023738872401,0.736541172106825,0.004118447082096933,0.011220944609297725
"Experiment: FC-A, Phase: preexposure",15h,0.00027355341246290796,0.1250547106824926,0.07386931256181997,0.009736337784371909,0.12957220573689415,0.00359297725024728,0.6394630934718101,0.006925074183976262,0.011512734915924827
"Experiment: FC-A, Phase: preexposure",16h,0.00045159495548961423,0.1291648120672601,0.0786078140454995,0.014509767556874381,0.1471494807121662,0.00365108803165183,0.6068586177052422,0.007486090504451037,0.012120734421364986
