experimental phase,cam_id,drink,eat,groom,hang,sniff,rear,rest,walk,eathand
FC-A_preexposure,17202338,0.0006226155150487496,0.1619547330554378,0.0822779043615468,0.06091946917243652,0.16127515484433147,0.007426640290141776,0.49677778072158646,0.015107552046535723,0.01363814999293486
FC-A_preexposure,17202339,0.0009047795676133957,0.07403693302246714,0.05574079471056475,0.053475313221233105,0.2177131170222787,0.006972557816400549,0.5522533382789316,0.0194935324525458,0.019409633907964772
FC-A_preexposure,17202341,0.0018450343465968829,0.09506786081450504,0.055748381971541396,0.06757751349330594,0.2944973159419613,0.011249094605014134,0.44234057746676336,0.01722689198345756,0.014447329376854593
FC-A_preexposure,17202342,0.0011710470538363715,0.09976508407517312,0.06557605918232773,0.04714487365173565,0.224244545122698,0.00872581661250059,0.5197475831331541,0.014983102538740516,0.018641888629833726
FC-A_preexposure,17202345,0.0007763961656157273,0.09777122067414684,0.07089619169603115,0.042959187221810066,0.20170478254821955,0.0075862533614614236,0.5409397747820845,0.019927380841988123,0.017438812708642424
FC-A_preexposure,17202346,0.001212113183552353,0.21578529037727856,0.0778880234091659,0.04069395871602843,0.21175131588243593,0.010347781545852768,0.406498310253874,0.0204370966982243,0.015386109933587681
FC-A_postcond,17202338,0.0004910567095285196,0.09403560830860536,0.07390475601714473,0.023333333333333334,0.23462763765248928,0.007746043521266075,0.5272504533465215,0.017590257171117705,0.021020853939993405
FC-A_postcond,17202339,0.0019223953181668313,0.09180864655456643,0.10183028354764255,0.029972593142103533,0.2934619188921859,0.007909660402242003,0.4236094625783054,0.02330098087701946,0.02618405868776789
FC-A_postcond,17202341,0.001707673920211012,0.09895565446752387,0.0774196340257171,0.039060336300692396,0.24605196999670298,0.008916089680184636,0.48656569403231126,0.020194320804484012,0.021128626772172768
FC-A_postcond,17202342,0.0015516815034619196,0.09258984503791622,0.05867272502472799,0.029047766238048146,0.2348788328387736,0.008875700626442466,0.5239993405868776,0.015435212660731949,0.034948895483020104
FC-A_postcond,17202345,0.0005135179690075833,0.14016485328058031,0.05591823277283219,0.02055658588855918,0.2676475436861193,0.010498062973953181,0.4610272420046158,0.02115376689746126,0.02252019452687109
FC-A_postcond,17202346,0.0017220985822617872,0.10133654797230464,0.08896719419716455,0.025944609297725022,0.27841349324101544,0.009603733926805143,0.4416260715463239,0.02490211836465546,0.02748413287174415
FC-A_postret,17202338,0.0007825899055345329,0.1020056897068032,0.08413177524296954,0.02111648585740343,0.23417269553262737,0.005754617782375519,0.5162526713037321,0.013844754716467485,0.02193871995208668
FC-A_postret,17202339,0.0017091780138107006,0.1210799488338556,0.08544191463989573,0.032031704983499255,0.2575605258049307,0.004062352672009761,0.4432522913835659,0.0175913953520619,0.03727068831637039
FC-A_postret,17202341,0.0020972428288822944,0.09118421323771843,0.09504744683481696,0.03334080324760963,0.2530318407242555,0.008141519672491484,0.48053288822947554,0.015666127459061433,0.020957917765688536
FC-A_postret,17202342,0.0019201972744257614,0.09950741496318276,0.07718430596768873,0.02273996455654468,0.2371700358555885,0.005378681723266293,0.5134380323387185,0.009646063441037477,0.0330153038795472
FC-A_postret,17202345,0.0010637329651610064,0.12062237265084078,0.07601788314649964,0.035268985602813496,0.28312151404000435,0.00862474585119244,0.43739164331245173,0.015994202659632927,0.02189491977140345
FC-A_postret,17202346,0.001776208237168919,0.0875397536817232,0.09144557437630511,0.02678642570612155,0.25268161336410594,0.008121170595669854,0.4921191545774263,0.016201557176612816,0.023328542284866458
FC-A_postext,17202338,0.0005571525717111771,0.09095032764589513,0.08843399686778766,0.027734503791625457,0.22342152983844374,0.006604692136498518,0.5262034289482361,0.01716096892515661,0.018933399274645563
FC-A_postext,17202339,0.002571453593801517,0.11853131181998022,0.09871878090999013,0.04024300403890538,0.21603893628420706,0.005555813138806463,0.45911973499835146,0.016362203264094956,0.04285876195186284
FC-A_postext,17202341,0.0016683667161226509,0.12426022090339599,0.13901716534784045,0.02931194362017804,0.2365381841411144,0.008008520853939992,0.4179677196669964,0.015496465957797563,0.02773141279261457
FC-A_postext,17202342,0.000737460847345862,0.11390254080118692,0.05122223252555227,0.02265109833498187,0.24830252637652495,0.005942445598417407,0.5112829191394659,0.010390908341576,0.03556786803494891
FC-A_postext,17202345,0.0006882624464226838,0.14945469625783056,0.074533516732608,0.02694011704582921,0.2414920252225519,0.00843018463567425,0.46005192878338275,0.018571494807121662,0.01983777406857896
FC-A_postext,17202346,0.0015176805143422355,0.0917802608803165,0.16617494024068577,0.03637874010880317,0.21875850024727997,0.009370878667985492,0.43218966369930756,0.02051805143422355,0.023311284207055725
