experimental phase,hour,drink,eat,groom,hang,sniff,rear,rest,walk,eathand
"Experiment: FC-B, Phase: preexposure",00h,0.005821123887240358,0.14341617210682495,0.12320567507418399,0.029303443372898114,0.28559208086053417,0.02472876483679526,0.2723548775964391,0.033815529179030655,0.0817623330860534
"Experiment: FC-B, Phase: preexposure",01h,0.0030523615232443124,0.09294943125618199,0.08815683728981205,0.028664379327398612,0.2570297045004945,0.014046272255192878,0.4407826409495548,0.027140516815034623,0.04817785608308606
"Experiment: FC-B, Phase: preexposure",02h,0.0010030291790306626,0.07213618941641939,0.146035793768546,0.02610194114737884,0.22780430885262118,0.014184594460929775,0.44892974159248267,0.016731577645895154,0.047072823936696324
"Experiment: FC-B, Phase: preexposure",03h,0.00243802546983185,0.047626885509396644,0.13256135633036595,0.02496290801186944,0.2546975457467853,0.010446031157270032,0.46920205860534114,0.011620610781404549,0.04644457838773492
"Experiment: FC-B, Phase: preexposure",04h,0.006876700049455985,0.14912215628091,0.1530430885262117,0.05238625123639961,0.21979862141444118,0.024759674826904055,0.2803397007912957,0.025037864737883286,0.08863594213649854
"Experiment: FC-B, Phase: preexposure",05h,0.01532517309594461,0.29571201162215627,0.10920808605341246,0.08548621414441147,0.22372419015825917,0.03953155909990109,0.07177531528189911,0.047270647873392684,0.11196680267062316
"Experiment: FC-B, Phase: preexposure",06h,0.0028359915924826905,0.17744498021760632,0.08323828511374877,0.03280013600395648,0.31198303041543024,0.017745425321463896,0.2896420623145401,0.030113285113748767,0.05419680390702275
"Experiment: FC-B, Phase: preexposure",07h,0.0003631923837784372,0.07125834569732938,0.060947545746785375,0.0067932430761622154,0.39437901829871413,0.007225210187932741,0.40548884149357073,0.014755656528189913,0.03878894658753709
"Experiment: FC-B, Phase: preexposure",08h,0.00011436696340257172,0.021626947329376853,0.05919417655786349,0.0011745796241345201,0.23721176434223543,0.0024102064787339273,0.6336130687438178,0.0031713649851632052,0.041483524975272
"Experiment: FC-B, Phase: preexposure",09h,0.00012363996043521266,0.020712784371909,0.03182956231454006,0.001191580118694362,0.18099499258160234,0.0014249505440158258,0.7377271884272997,0.001318311078140455,0.024676990603363008
"Experiment: FC-B, Phase: preexposure",10h,0.0001522317012858556,0.009628461918892186,0.03937159990108803,0.00036782888229475766,0.15486600519287833,0.00026428041543026705,0.7837668459446094,0.0007070660237388724,0.010875680019782395
"Experiment: FC-B, Phase: preexposure",11h,0.0007171117705242334,0.030908444609297727,0.06036180143422354,0.007213618941641939,0.216522162462908,0.004539904797230465,0.6427941085558853,0.006795561325420377,0.03014728610286845
"Experiment: FC-B, Phase: preexposure",12h,0.0006467915430267063,0.03214020771513353,0.05749412710187932,0.002194609297725025,0.22964654426310582,0.0019403746290801184,0.6472845573689416,0.007708178783382789,0.020944609297725025
"Experiment: FC-B, Phase: preexposure",13h,0.0014118137982195844,0.019345790059347178,0.04371368076162216,0.0013917223046488625,0.25165291172106824,0.0011475333827893174,0.6467559965380811,0.0017742334322453015,0.032806318001978245
"Experiment: FC-B, Phase: preexposure",14h,0.00031760014836795255,0.03043088526211671,0.05990278808110783,0.003301959693372898,0.19781466369930759,0.002861492334322453,0.6693697453016814,0.0032741407022749748,0.03272672477744807
"Experiment: FC-B, Phase: preexposure",15h,0.0006769287833827893,0.047364923343224535,0.07560197205736895,0.006098541048466865,0.25705134149357073,0.0044340380811078136,0.5761745796241345,0.008735935954500494,0.023861739614243326
"Experiment: FC-B, Phase: preexposure",16h,0.00022023367952522257,0.021052794263105832,0.06961547972304648,0.007070660237388725,0.17739629698318496,0.0034742828882294765,0.6869953944114737,0.004152757171117706,0.0300221006429278
"Experiment: FC-B, Phase: preexposure",17h,0.0011436696340257173,0.05391938674579625,0.09032594584569732,0.0126885509396637,0.19242859792284864,0.005034464638971316,0.6139195412957467,0.005865170623145399,0.024674672354104848
"Experiment: FC-B, Phase: preexposure",18h,0.0024063427299703265,0.07328063180019782,0.14710914317507418,0.025017773244312563,0.22632990232443126,0.013037061078140455,0.4538088835311573,0.01573163946587537,0.04327862265084075
"Experiment: FC-B, Phase: preexposure",19h,0.01179602497527201,0.2744405291790306,0.11967420870425322,0.1281713649851632,0.1999992272502473,0.06841462660731949,0.031616283382789316,0.06808466246290802,0.09780307245301682
"Experiment: FC-B, Phase: preexposure",20h,0.007653313550939664,0.21642634149357068,0.13706416913946587,0.08767541419386747,0.2531049085064293,0.05151304401582591,0.09905879080118694,0.04886405786350149,0.09863996043521266
"Experiment: FC-B, Phase: preexposure",21h,0.005491159742828884,0.17233169510385757,0.12246769906033628,0.054439447329376854,0.2723958333333334,0.03544603115727003,0.2287617457962413,0.047025686201780416,0.06164070227497528
"Experiment: FC-B, Phase: preexposure",22h,0.005311109050445104,0.11933188056379823,0.11683898986152325,0.0367264774975272,0.2512054896142433,0.029770956973293766,0.3296527262611276,0.03254899233432246,0.07861337784371908
"Experiment: FC-B, Phase: preexposure",23h,0.005753894658753711,0.19132511127596438,0.12301557863501485,0.05733880440158259,0.25097057368941644,0.03904472675568744,0.1906396822453017,0.0450428103363007,0.09686881800197823
"Experiment: FC-B, Phase: postcond",00h,0.004975478074513682,0.07845367622815695,0.10804896142433235,0.011398574019122979,0.24648501895812724,0.011429484009231782,0.4610477456313881,0.025515681668315204,0.052645379986811736
"Experiment: FC-B, Phase: postcond",01h,0.0030240273656445766,0.04932204088361358,0.10981495219254862,0.006363336630398946,0.19004131635344546,0.007007809924167492,0.5760653643257502,0.013469028189910979,0.04489212413452028
"Experiment: FC-B, Phase: postcond",02h,0.002985389878008572,0.049302464556544676,0.14935861770524236,0.007294757665677548,0.1991273079459281,0.006512219749423013,0.5316775881965052,0.008051537256841412,0.04569011704582922
"Experiment: FC-B, Phase: postcond",03h,0.006173240191229806,0.0778086877678866,0.15007263847675567,0.017958189086712827,0.3101544469172437,0.011154385097263434,0.33813726096274316,0.014031074843389382,0.07451007665677546
"Experiment: FC-B, Phase: postcond",04h,0.014907888229475771,0.21866036102868447,0.11847129492251897,0.05834260633036598,0.2459240026376525,0.03105320639630729,0.14078161061655128,0.031913019287833834,0.13994601055060996
"Experiment: FC-B, Phase: postcond",05h,0.011173961424332341,0.2642350807781075,0.11622001730959447,0.0469945186284207,0.2631115026376525,0.032461671612265076,0.12005079541707879,0.04103558770194528,0.10471686449060338
"Experiment: FC-B, Phase: postcond",06h,0.001543438839432905,0.09052917903066271,0.06946505110451698,0.0032445186284207053,0.4233056173755358,0.006131511704582922,0.3515516815034619,0.013711156445763272,0.04051784536762282
"Experiment: FC-B, Phase: postcond",07h,0.0001447617870095615,0.02498815117045829,0.04916646060006594,0.0011122444774151008,0.3206226302340916,0.0010962743158588854,0.5824256099571381,0.0028849324101549623,0.01755893504780745
"Experiment: FC-B, Phase: postcond",08h,0.0005602435707220574,0.058352652077151325,0.05270462413452028,0.0004157393669634026,0.26785592853610285,0.0013824493076162218,0.5784827831355095,0.0038444300197823943,0.03640114985163205
"Experiment: FC-B, Phase: postcond",09h,7.495672601384768e-05,0.016436387240356082,0.032504945598417406,0.0004219213649851632,0.15440544634025719,0.00047601384767556875,0.7757109297725027,0.0007062932739861522,0.019263105835806132
"Experiment: FC-B, Phase: postcond",10h,0.000771204253214639,0.045051310583580605,0.06498258737223872,0.0048873846027035935,0.26592431173755354,0.004100725354434553,0.5791955159907682,0.006668830365974284,0.02841812973953182
"Experiment: FC-B, Phase: postcond",11h,0.0003235245631388065,0.026362615397296407,0.04166821216617211,0.0008829953841081439,0.20194629904385097,0.0017309594460929772,0.6995198648203098,0.0061464515331355095,0.02141907764589515
"Experiment: FC-B, Phase: postcond",12h,0.0003673137157929443,0.018982340092317838,0.025581107814045503,0.0007779014177382131,0.16000453346521593,0.0008515702274975274,0.7791594543356414,0.0027288369601055065,0.011546941971645236
"Experiment: FC-B, Phase: postcond",13h,0.00013600395647873394,0.026774748598747112,0.03738717853610287,0.00042501236399604354,0.2466272049126278,0.0010287875041213321,0.6677907599736237,0.002061181173755358,0.017769122980547315
"Experiment: FC-B, Phase: postcond",14h,4.9971150675898455e-05,0.026485740191229803,0.0488300568743818,6.748681173755358e-05,0.23250546076491924,0.0003729805473128916,0.6685732978898782,0.0024944362017804153,0.020620569568084404
"Experiment: FC-B, Phase: postcond",15h,0.0001602167820639631,0.021541172106824918,0.05580541130893504,0.0033913410814375208,0.22309285361028686,0.0014841946917243656,0.6674584775799537,0.002750989119683482,0.02431534371909001
"Experiment: FC-B, Phase: postcond",16h,0.0003173425651170458,0.04376390949554896,0.08225148367952523,0.0014208292120013188,0.26552814869765906,0.0021956396307286517,0.5690106742499176,0.0037854434553247613,0.031726529014177385
"Experiment: FC-B, Phase: postcond",17h,0.0005455613254203758,0.04081458127266732,0.08415966040224201,0.006201059182327729,0.2351642350807781,0.0036097716782063968,0.6018721150675899,0.004955901747444775,0.02267711424332344
"Experiment: FC-B, Phase: postcond",18h,0.00972325255522585,0.14865799126277615,0.18428896719419716,0.06579191394658754,0.25732515248928456,0.03717338443785031,0.15529488130563798,0.04213289235080778,0.0996115644576327
"Experiment: FC-B, Phase: postcond",19h,0.010587701945268712,0.15290708456973293,0.14538462331025387,0.0336743735575338,0.30740551846356745,0.02599942301351797,0.19011550032970653,0.038708065446752385,0.09521770936366633
"Experiment: FC-B, Phase: postcond",20h,0.008638311902406857,0.12189818249258161,0.14664369024068583,0.036618550115397296,0.2930127967359051,0.025207612100230793,0.26732607978898776,0.037926557863501485,0.06272821876030334
"Experiment: FC-B, Phase: postcond",21h,0.007579129574678535,0.12827903478404223,0.13005069238377842,0.03805586465545665,0.3106083086053413,0.02501184882954171,0.22196566930431916,0.046881181998021756,0.0915682698648203
"Experiment: FC-B, Phase: postcond",22h,0.005954809594460928,0.10115706396307288,0.14426104516979887,0.0297838361358391,0.2973520441806792,0.018990067589845037,0.29151263188262455,0.03501226096274315,0.07597624052093638
"Experiment: FC-B, Phase: postcond",23h,0.008136024563138807,0.12761446999670292,0.12631212908011868,0.029740562149686782,0.3184625370919882,0.020259953016815033,0.23372795087372233,0.058613068743818,0.07713330448400922
"Experiment: FC-B, Phase: postret",00h,0.004472057368941643,0.06117117952522255,0.11483215875370921,0.018722181008902074,0.2488992952522255,0.0065856824925816,0.461734359545005,0.016579191394658754,0.0670038946587537
"Experiment: FC-B, Phase: postret",01h,0.0014685336300692385,0.04072236646884272,0.10859174085064294,0.00445196587537092,0.20891196834817008,0.0031930019782393675,0.5700306008902077,0.008035361028684471,0.05459446092977252
"Experiment: FC-B, Phase: postret",02h,0.0025102002967359056,0.04119899851632047,0.12763847675568743,0.003296550445103858,0.22564416419386749,0.003005069238377844,0.5250689292779426,0.006343348170128585,0.0652942631058358
"Experiment: FC-B, Phase: postret",03h,0.00433497557709353,0.07393412519107993,0.1357184756236592,0.011896249614628696,0.23275511279336378,0.00695866270537079,0.41989404496961996,0.010506163130884944,0.10400219039429906
"Experiment: FC-B, Phase: postret",04h,0.01098695598417408,0.16179463402571712,0.13430947082096933,0.05411381058358062,0.24034402818991102,0.025247898120672605,0.20366221562809098,0.03407486399604352,0.13546612265084074
"Experiment: FC-B, Phase: postret",05h,0.007463217111770524,0.12385447576656776,0.12369405291790306,0.03479692136498516,0.32884551186943617,0.022636931256181998,0.21936758160237388,0.029772193372898124,0.10956911473788326
"Experiment: FC-B, Phase: postret",06h,0.0015077893175074184,0.0781824925816024,0.07912122898120676,0.004687190900098912,0.39363408753709195,0.003654797230464886,0.3723856330365973,0.008282022749752723,0.058544757665677544
"Experiment: FC-B, Phase: postret",07h,0.0009291543026706234,0.04864706973293769,0.06728733926805143,0.0008849530168150346,0.3022428288822947,0.0007946958456973294,0.5331447823936697,0.0034628461918892193,0.04260633036597427
"Experiment: FC-B, Phase: postret",08h,0.00040067074678536103,0.0359742056132542,0.06187716369930762,0.001025825296735905,0.2946985503214639,0.0013712444362017804,0.5561398831602373,0.005047987759643917,0.04346446896636993
"Experiment: FC-B, Phase: postret",09h,0.0012060047807451368,0.04121847181008901,0.0860261086383119,0.0007892350807781075,0.32225570804484005,0.00114109380151665,0.508075234915925,0.004295458292120013,0.03499268463567426
"Experiment: FC-B, Phase: postret",10h,0.0005728651500164854,0.019770544840092316,0.05962691641938674,0.00030291790306627106,0.25749309676887566,0.0005517433234421365,0.6090009891196835,0.0035309512034289487,0.049149975272007915
"Experiment: FC-B, Phase: postret",11h,0.00027870507748104184,0.027859174085064293,0.08422354104846687,0.0009556338608638312,0.2824292161226508,0.001060727827233762,0.5598077398615233,0.004011086383119023,0.0393741757335971
"Experiment: FC-B, Phase: postret",12h,0.00023027942631058363,0.03919850395647873,0.06786751978239368,0.001935995713814705,0.24061881800197826,0.0005914111440817673,0.6286411968348171,0.004265063468513023,0.016651211671612265
"Experiment: FC-B, Phase: postret",13h,0.00046622568414111444,0.04551393010220903,0.07232834652159578,0.002544407352456314,0.37635334240026375,0.0013857978898780083,0.46464206231454,0.01192558935047807,0.02484029838443785
"Experiment: FC-B, Phase: postret",14h,0.00048157764589515324,0.03977713897131553,0.07186139960435214,0.0024724901088031648,0.2662734915924826,0.001649357072205737,0.5737731824925817,0.005183605341246292,0.0385277571711177
"Experiment: FC-B, Phase: postret",15h,0.0006287091988130564,0.04928010633036596,0.08070629327398615,0.0005341246290801186,0.25240819732937686,0.0009817012858555885,0.5845283135509398,0.0029141938674579625,0.02801836053412463
"Experiment: FC-B, Phase: postret",16h,0.00034310089020771504,0.054974035608308616,0.07939200049455984,0.0011470697329376855,0.2815776458951533,0.0007715133531157269,0.5335716493570721,0.004179030662710188,0.04404395400593473
"Experiment: FC-B, Phase: postret",17h,0.0006772378832838773,0.06973602868447082,0.10772440652818992,0.0021160979228486646,0.29356237636003957,0.002355959446092977,0.474799703264095,0.006886745796241345,0.04214144411473788
"Experiment: FC-B, Phase: postret",18h,0.0052695351137487636,0.09338773491592482,0.22346964638971312,0.02601941147378833,0.24997187190900094,0.013834384272997031,0.23586949802176066,0.026233617705242334,0.12594430019782393
"Experiment: FC-B, Phase: postret",19h,0.00914750247279921,0.12142495054401584,0.17159928288822948,0.03319918397626113,0.2684999381800198,0.018539193867457962,0.2069566023738872,0.030503832838773493,0.1401295128585559
"Experiment: FC-B, Phase: postret",20h,0.009686881800197824,0.1011037957467854,0.15593811819980216,0.04003245548961424,0.282317321958457,0.02136405786350148,0.24835497032640952,0.0440937190900099,0.09710867952522252
"Experiment: FC-B, Phase: postret",21h,0.006227744807121662,0.09303319732937682,0.1490965009891197,0.042352559347181025,0.3066039193867459,0.019071463897131553,0.2565680637982196,0.037100024727992086,0.08994652571711177
"Experiment: FC-B, Phase: postret",22h,0.006412277448071217,0.08904673590504451,0.12276922601384768,0.033545994065281894,0.2809350272007913,0.014243014342235408,0.35186170870425326,0.02338340751730959,0.07780260880316517
"Experiment: FC-B, Phase: postret",23h,0.005176496043521264,0.09733184965380808,0.11384118447082094,0.034003771018793275,0.2745558234421364,0.0145558234421365,0.36117612512363995,0.02322205736894164,0.07613686943620177
"Experiment: FC-B, Phase: postext",00h,0.004995827151335313,0.06410577398615233,0.13253431008902075,0.00974128338278932,0.24425383283877353,0.00615340628090999,0.4617264774975272,0.0164217049950544,0.060067383778437185
"Experiment: FC-B, Phase: postext",01h,0.0016861399604352126,0.03280709075173096,0.08568326533135508,0.003475055637982196,0.22515145895153313,0.0011467606330365975,0.6008368879821958,0.0040206169634025716,0.045192723788328386
"Experiment: FC-B, Phase: postext",02h,0.0010633036597428288,0.04214808976261128,0.10363965133531156,0.0026914873887240363,0.2796040430267063,0.002501390949554896,0.5069694300197823,0.006907610039564787,0.05447499381800198
"Experiment: FC-B, Phase: postext",03h,0.004808821711177052,0.05711007047477745,0.1592521327893175,0.014791975766567758,0.23803010633036595,0.008030415430267062,0.4375301372403561,0.00919108555885262,0.07125525469831849
