experimental phase,hour,drink,eat,groom,hang,sniff,rear,rest,walk,eathand
"Experiment: FC-C, Phase: preexposure",00h,0.0034217359050445102,0.12679973417408505,0.11306990294263104,0.03341447205736894,0.2820644782393669,0.019636730341246293,0.31693365170623145,0.036560722675568744,0.06809857195845696
"Experiment: FC-C, Phase: preexposure",01h,0.0030214515331355093,0.08666388476755688,0.09056163452027693,0.04415144349653808,0.29207545128585555,0.017983045870425318,0.37130818805637994,0.03937739552423343,0.05485750494559843
"Experiment: FC-C, Phase: preexposure",02h,0.0025114366963402573,0.06224035608308606,0.10856824925816023,0.01855874443620178,0.23398978424826902,0.009757511127596442,0.49135254389218597,0.03115688365479723,0.04186449060336301
"Experiment: FC-C, Phase: preexposure",03h,0.002336022502472799,0.07174788266567754,0.12513136745796238,0.01919046735905045,0.2823194856577646,0.009788421117705243,0.41168938550939665,0.017816518298714144,0.05998044943125619
"Experiment: FC-C, Phase: preexposure",04h,0.004064663699307616,0.13675854661226508,0.12286296055885261,0.04372449925816025,0.26641513662215627,0.020767263229475766,0.28875880934718107,0.02478478919386745,0.09186333147873393
"Experiment: FC-C, Phase: preexposure",05h,0.005496568991097922,0.23042702151335312,0.07759953016815035,0.11693133345697328,0.2664193867457962,0.04265694547477744,0.10101655229970324,0.047358354970326415,0.11209430637982197
"Experiment: FC-C, Phase: preexposure",06h,0.003534943743818002,0.15961455242334324,0.08167964886251237,0.05878655106330366,0.37254342853610295,0.02833286968348171,0.1963313705489614,0.04403089453511375,0.055145740603363004
"Experiment: FC-C, Phase: preexposure",07h,0.0007194300197823936,0.041230835806132536,0.059310475395647884,0.005735348664688427,0.28885463031651837,0.004670499505440159,0.5679173621414441,0.01133082962413452,0.02023058852621167
"Experiment: FC-C, Phase: preexposure",08h,0.00011539729640619847,0.03040924826904055,0.03674734174085065,0.00034155539070227495,0.17615088196505113,0.001313159413122321,0.7319495961094624,0.00247692054071876,0.020495899274645565
"Experiment: FC-C, Phase: preexposure",09h,0.00017103527860204418,0.027942115891856245,0.04536865314869767,0.001474406528189911,0.17015125288493244,0.0014295870425321464,0.7178469131223211,0.005081087207385427,0.030534948895483013
"Experiment: FC-C, Phase: preexposure",10h,0.0008280013600395647,0.0423451409495549,0.07028661288328387,0.003298482319485658,0.22938844584569737,0.003296164070227498,0.6151957375123639,0.007831045994065283,0.0275303690652819
"Experiment: FC-C, Phase: preexposure",11h,0.0003431008902077151,0.02357891320474777,0.03891606392185954,0.0017066178288822947,0.18346624629080122,0.001803984297725025,0.7268797137734917,0.004573519411473788,0.01873184038081108
"Experiment: FC-C, Phase: preexposure",12h,0.0008847984668644905,0.0494169603115727,0.062445521142433236,0.0016169788575667655,0.2710129976508408,0.002592189045499505,0.5653054679772503,0.008414085682492582,0.038311000865479734
"Experiment: FC-C, Phase: preexposure",13h,0.00014334507912957468,0.024196726632047475,0.04611731886745796,0.0012962877101879327,0.1604008252967359,0.001152169881305638,0.7464982844955489,0.002426434223541049,0.0177686078140455
"Experiment: FC-C, Phase: preexposure",14h,0.0005737666913946587,0.04421712722551927,0.06052678350642927,0.002807399851632048,0.16874381800197824,0.0019067600148367952,0.690716184470821,0.0049757356577645896,0.025532424579624135
"Experiment: FC-C, Phase: preexposure",15h,0.0004906960929772502,0.06238795128585559,0.07001846871909001,0.003360688674579624,0.17783869621661721,0.0032069114737883282,0.6458561294510387,0.004749319980217607,0.03209113810583581
"Experiment: FC-C, Phase: preexposure",16h,0.0010490077893175074,0.06382101570227498,0.071455396884273,0.002371568991097923,0.1910484668644906,0.0015257943867457962,0.6449373299950545,0.004029117210682492,0.019762302176063302
"Experiment: FC-C, Phase: preexposure",17h,0.0008229784866468842,0.06860781404549951,0.0917709878832839,0.0021447669386745797,0.18429579315034617,0.002329067754698319,0.6227825945845696,0.0029395400593471813,0.024306457096933718
"Experiment: FC-C, Phase: preexposure",18h,0.0021571309347181013,0.10395300136003956,0.1569895215133531,0.03754443311078141,0.2078383871167161,0.019552114243323444,0.40288737945103853,0.016464978981206725,0.05261305328882296
"Experiment: FC-C, Phase: preexposure",19h,0.006760401211671613,0.2222045777695351,0.11723270586053412,0.1315683728981207,0.25369799394164194,0.06782617767062316,0.03420422230464886,0.06275307554401581,0.10375247279920873
