experimental phase,hour,drink,eat,groom,hang,sniff,rear,rest,walk,eathand
"Experiment: FC-D, Phase: preexposure",00h,0.00856065055225849,0.20130350004121333,0.11134976199307617,0.044599638353115735,0.32693767000494556,0.025609313180019785,0.18522991880975936,0.04233290574513683,0.05407664132047477
"Experiment: FC-D, Phase: preexposure",01h,0.005265130440158261,0.16512863707550274,0.12205002781899107,0.034970274892845356,0.34733208147873396,0.022349597139795584,0.21061874072700298,0.040714638971315525,0.05157087145565448
"Experiment: FC-D, Phase: preexposure",02h,0.004019200255522586,0.16759126174579625,0.09103687561819979,0.026397775511045173,0.2993689210352786,0.01623766176228157,0.3118866942795912,0.026579114119683476,0.05688249567260138
"Experiment: FC-D, Phase: preexposure",03h,0.004902839597757995,0.2027522770359381,0.10855459734586215,0.03421723025881964,0.2852877462495879,0.018204696257830534,0.2566070103857566,0.02709930349488955,0.062374299373557526
"Experiment: FC-D, Phase: preexposure",04h,0.008657759437850313,0.22482819197164516,0.10603672106824927,0.05843726817507417,0.30847114037256845,0.028628446463897134,0.17162063653972962,0.035087346480382454,0.05823248949060338
"Experiment: FC-D, Phase: preexposure",05h,0.007727755110451697,0.2121393834487306,0.0844970944609298,0.057174208704253195,0.3437814251566106,0.02881133057204089,0.17017276108638316,0.03698753812232115,0.05870850333827894
"Experiment: FC-D, Phase: preexposure",06h,0.00518347654962084,0.11555094481536433,0.07726222490108803,0.013274424043850977,0.4184120507748104,0.01027074575502803,0.28717982401912306,0.021858514671941966,0.051007794469172446
"Experiment: FC-D, Phase: preexposure",07h,0.0016305019782393677,0.06075049455984173,0.0847868756181998,0.00519751483679525,0.4145861667490933,0.004532950049455984,0.37273545684965376,0.00996782785196175,0.04581221150675898
"Experiment: FC-D, Phase: preexposure",08h,0.001304556132542038,0.08090628090999008,0.07368617087042535,0.006734359545004948,0.44910886498516306,0.005055947082096933,0.32609792284866473,0.012299703264094956,0.04480619436201782
"Experiment: FC-D, Phase: preexposure",09h,0.0017450234915924827,0.05734560459940654,0.06272193372898123,0.0029764774975272004,0.41318465628091006,0.0034089082591493573,0.40417269411473783,0.008026397131552919,0.046418304896142425
