experimental phase,hour,drink,eat,groom,hang,sniff,rear,rest,walk,eathand
"Experiment: Trap2, Phase: preexposure",00h,0.00673683234421365,0.04606395620397847,0.09294462303549841,0.004829857676667765,0.288992780800088,0.02517773244312562,0.4966574280140676,0.027050877843719092,0.011545911638641607
"Experiment: Trap2, Phase: preexposure",01h,0.004191051214419168,0.04557025497307398,0.10302351219914277,0.0033140661061655118,0.3186442191449609,0.02620909577975601,0.4609426516650181,0.025737374986262246,0.01236777393120123
"Experiment: Trap2, Phase: preexposure",02h,0.00604444856577646,0.09361142021101222,0.10831513078360261,0.0062848595999560365,0.3556292243653148,0.03957028244862073,0.3293193276733707,0.04154302670623146,0.019682279646114957
"Experiment: Trap2, Phase: preexposure",03h,0.00906778904275195,0.11086262913506978,0.1057599049346082,0.006694073524563138,0.3982650909440597,0.06072971617760192,0.2193445021430927,0.06338419743927906,0.025892096658973532
"Experiment: Trap2, Phase: preexposure",04h,0.009430466260028579,0.08045818908671283,0.09639331932080444,0.014460723705901748,0.36071305912737667,0.04333855368721836,0.32648058852621176,0.05200039152654137,0.016724708759204305
"Experiment: Trap2, Phase: preexposure",05h,0.015582584624684034,0.04476401939773605,0.1175410759424112,0.009998179745026927,0.32149429195515994,0.029156019892295867,0.40148831602373886,0.04137714309264754,0.018598369326299595
"Experiment: Trap2, Phase: preexposure",06h,0.01379821958456973,0.028042745081877124,0.1260815062094736,0.019072494230135177,0.27710806132542043,0.01620834020222002,0.4712215971535334,0.02627744120232992,0.022189595010440707
"Experiment: Trap2, Phase: preexposure",07h,0.009454335641279265,0.028757624464226837,0.12592523903725683,0.009435446202879439,0.2552215559402132,0.014038287174414769,0.5124096741400153,0.023343567974502686,0.021414269425211564
"Experiment: Trap2, Phase: preexposure",08h,0.007855087097483242,0.023439560666007258,0.11614222716782063,0.021500817397516213,0.30370868364655457,0.010513346246840314,0.4791134327948128,0.018621551818881196,0.019105293164083964
"Experiment: Trap2, Phase: preexposure",09h,0.009744374381800197,0.0220664487512364,0.12613130563798217,0.030789054772502475,0.3078785701038576,0.006322058914441147,0.46882669541295735,0.01252627349159248,0.01571521853363007
"Experiment: Trap2, Phase: preexposure",10h,0.007940776458951533,0.01519586630398945,0.09144669057039234,0.029257078387734916,0.21835126112759648,0.007438489119683481,0.5983968018463568,0.019127617045829215,0.012845419139465873
"Experiment: Trap2, Phase: preexposure",11h,0.005344443875984857,0.01753715593983424,0.09391691394658755,0.0004821958456973293,0.2745302747365189,0.004247032640949554,0.5868563261025275,0.006836437122684948,0.010249219789215183
"Experiment: Trap2, Phase: preexposure",12h,0.009207453803614783,0.028416677906663076,0.09149645097113569,0.0008303547342864852,0.30805844517129755,0.010229590976530888,0.5131583827893175,0.015574841516050713,0.023027802131103316
"Experiment: Trap2, Phase: preexposure",13h,0.011867669916631341,0.03456509643916913,0.08976172813338985,0.001157799915218313,0.2449539441147378,0.00625618199802176,0.5703997103292354,0.009756296806556453,0.031281572347039696
"Experiment: Trap2, Phase: preexposure",14h,0.013547627879044798,0.02894676416560689,0.10763984562667796,0.002834225307333616,0.27426522537798503,0.010470317578069804,0.5101095538363714,0.015541763812349865,0.03664467641656069
"Experiment: Trap2, Phase: preexposure",15h,0.010287419777793114,0.0463910789455524,0.11505740632116487,0.003304637361120695,0.24046843730591402,0.012400800496860119,0.5209442498792355,0.019330532744462083,0.031815437167897316
"Experiment: Trap2, Phase: preexposure",16h,0.01035697174826904,0.050552322885756666,0.13276149851632044,0.010517896884272996,0.30747558110781403,0.02504887642185955,0.41260567352868466,0.027131823380316524,0.023549355526706228
"Experiment: Trap2, Phase: preexposure",17h,0.009425910571943912,0.10355496705358704,0.12774907997323562,0.009447547565020073,0.3882548855966718,0.06907000930936173,0.20649423437772735,0.06029757229301214,0.02570579325944028
"Experiment: Trap2, Phase: preexposure",18h,0.009828152119142262,0.11169254940932756,0.10452312300543086,0.014739166340070544,0.32625307933486375,0.07385872151615253,0.2727930267062315,0.0648453684004255,0.021466813168355633
"Experiment: Trap2, Phase: preexposure",19h,0.008855712166172106,0.09801942780359445,0.10384794384412968,0.016367014724819447,0.35091470242427636,0.05327354291473042,0.3043936509713901,0.04808801298919432,0.01623999216169307
"Experiment: Trap2, Phase: preexposure",20h,0.007941806791955159,0.08068778162435433,0.11367234723596,0.009274370809979117,0.3514671941971645,0.052351219914276284,0.32163596274315864,0.04666412517859106,0.01630519150456094
"Experiment: Trap2, Phase: preexposure",21h,0.009351474063083853,0.09832828470161553,0.12703009946147925,0.012655065117045831,0.36234665210462685,0.05602710462688207,0.2619444787888779,0.05182248736124849,0.020494353775140126
"Experiment: Trap2, Phase: preexposure",22h,0.009477346411693595,0.06197727772282667,0.10534382212331025,0.005313083855368723,0.30137755522584897,0.0344957206835916,0.4365833470711066,0.03270225436861193,0.012729592537641499
"Experiment: Trap2, Phase: preexposure",23h,0.006092359050445104,0.07090700214309265,0.10456008215188482,0.0035225368172326628,0.32785419414221334,0.03125618199802176,0.4059815982525552,0.03401713100340697,0.015808914441147376
"Experiment: Trap2, Phase: postconditioning",00h,0.002595280044510386,0.030124876360039566,0.13559169448565775,0.02537864737883284,0.30740680637982193,0.00849329253214639,0.4653282640949554,0.012851987512363999,0.012229151211671613
"Experiment: Trap2, Phase: postconditioning",01h,0.0026192352868447083,0.029481562190900094,0.12170267680514342,0.003464237141444115,0.37780508160237386,0.01580543706726014,0.4194995672601385,0.01643986461424332,0.013182338031651829
"Experiment: Trap2, Phase: postconditioning",02h,0.004171303165182987,0.04765084075173096,0.14438674579624136,0.0032745270771513354,0.37263036288328394,0.016216153560830854,0.3761146915182987,0.01955906899109792,0.015996306256181998
"Experiment: Trap2, Phase: postconditioning",03h,0.010416280291790309,0.11671728177546982,0.1297493199802176,0.0028545375865479724,0.42081633283877357,0.04513979043026705,0.1978853703016815,0.04822499381800197,0.02819609297725025
"Experiment: Trap2, Phase: postconditioning",04h,0.01213023924332344,0.12447375741839761,0.12702035422848665,0.004314648244312561,0.4134976199307614,0.043224143793273995,0.19635996228981203,0.04958001050939665,0.029399264342235415
"Experiment: Trap2, Phase: postconditioning",05h,0.014668335806132542,0.06556974839268052,0.12065946463897136,0.0017352095697329378,0.38104908506429286,0.030478795746785362,0.3211513198565777,0.044716323565776456,0.019971717359050446
"Experiment: Trap2, Phase: postconditioning",06h,0.008944578387734915,0.0232199709446093,0.14812221810089019,0.00043660361028684475,0.32585234297725024,0.010901180761622156,0.3934273769782393,0.06579925506923838,0.023296473170128586
"Experiment: Trap2, Phase: postconditioning",07h,0.008512611275964392,0.014033521884272997,0.16656543644906033,0.0001622774480712166,0.310272162462908,0.008562453635014837,0.441277587166172,0.03925761931256182,0.011356330365974282
"Experiment: Trap2, Phase: postconditioning",08h,0.011734977744807121,0.011677794263105836,0.22345295499505438,0.00020864243323442139,0.329764774975272,0.004622589020771513,0.373741190652819,0.028559285361028683,0.01623779055390702
"Experiment: Trap2, Phase: postconditioning",09h,0.023323905786350147,0.006789379327398616,0.18186124505440157,0.011055730712166173,0.291580118694362,0.0020361955984174087,0.4570150222551928,0.01709940652818991,0.009238996043521268
"Experiment: Trap2, Phase: postconditioning",10h,0.008197329376854601,0.007566765578635015,0.1469630934718101,0.025946618447082098,0.32736770524233433,0.0004868323442136499,0.46669834940652816,0.012168490356083085,0.004604815776458952
